chalder_0,Chalder Fatigue Questionnaire score at baseline (range 0-33)
sf36_0,SF36 Physical Function Subscale score at baseline (range 0-100)
wsas_0,Work & Social Adjustment Scale score at baseline (range 0-40)
hadanx_0,Hospital Anxiety & Depression Scale anxiety score at baseline (range 0-21)
haddep_0,Hospital Anxiety & Depression Scale depression score at baseline (range 0-21)
pain_0,Visual Analogue Pain Rating Scale score at baseline (range 0-100)
epworth_0,Epworth Sleepiness Scale score at baseline (range 0-24)
jenkins_0,Jenkins Sleep Scale score at baseline (range 0-20)
cis_subjective_0,CIS20R Fatigue Subscale score at baseline (range 8-56)
cis_concentration_0,CIS20R Concentration Subscale score at baseline (range 5-35)
cis_motivation_0,CIS20R Motivation Subscale score at baseline (range 4-28)
cis_activity_0,CIS20R Activity Subscale score at baseline (range 3-21)
eq5d_0,EQ-5D score at baseline (range -1 to +1)
chalder_1,Chalder Fatigue Questionnaire score at follow-up (range 0-33)
sf36_1,SF36 Physical Function Subscale score at follow-up (range 0-100)
wsas_1,Work & Social Adjustment Scale score at follow-up (range 0-40)
hadanx_1,Hospital Anxiety & Depression Scale anxiety score at follow-up (range 0-21)
haddep_1,Hospital Anxiety & Depression Scale depression score at follow-up (range 0-21)
pain_1,Visual Analogue Pain Rating Scale score at follow-up (range 0-100)
epworth_1,Epworth Sleepiness Scale score at follow-up (range 0-24)
jenkins_1,Jenkins Sleep Scale score at follow-up (range 0-20)
cis_subjective_1,CIS20R Fatigue Subscale score at follow-up (range 8-56)
cis_concentration_1,CIS20R Concentration Subscale score at follow-up (range 5-35)
cis_motivation_1,CIS20R Motivation Subscale score at follow-up (range 4-28)
cis_activity_1,CIS20R Activity Subscale score at follow-up (range 3-21)
eq5d_1,EQ-5D score at follow-up (range -1 to +1)
cgi_cfsme,"Overall, how much do you feel your CFS/ME has changed since you first came to the CFS/ME service?"
cgi_health,"Overall, how much do you feel your health has changed since you first came to the CFS/ME service?"
